bid_winner,bidders,order_value,tendor_bid_close_date,tendor_discription,tendor_issue_date,tendor_no,tendor_submission_date
EXIMP MEASUREMENT PRIVATE LIMITED,"[{'S.no': '1', 'Vendor_code': '3960', 'Vendor_name': 'EXIMP MEASUREMENT PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '81894', 'Vendor_name': 'Sick India Private limited', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",25828170 INR,01-02-2022,Ultrasonic Flowmeters,03-12-2021,B229-000-YF-MR-2055/64,19-APR-2022
Sick India Private limited,"[{'S.no': '1', 'Vendor_code': '3960', 'Vendor_name': 'EXIMP MEASUREMENT PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '81894', 'Vendor_name': 'Sick India Private limited', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",3550000 INR,01-02-2022,Ultrasonic Flowmeters,03-12-2021,B229-000-YF-MR-2055/64,19-APR-2022
EMERSON PROCESS MANAGEMENT INDIA PVT LTD,"[{'S.no': '1', 'Vendor_code': '82293', 'Vendor_name': 'Accurate Flowmeters & Instrumentation Pv', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '2', 'Vendor_code': 'E179', 'Vendor_name': 'EMERSON PROCESS MANAGEMENT INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'E187', 'Vendor_name': 'ENDRESS+HAUSER (I) PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",11249910 INR,27-01-2022,Mass Flowmeters,15-12-2021,B229-000-YF-MR-2060/65,12-APR-2022
SAMARTH ELECTRIC,"[{'S.no': '1', 'Vendor_code': '57593', 'Vendor_name': 'Watt and Volt Engineers', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '2', 'Vendor_code': '~5M9', 'Vendor_name': 'SAMARTH ELECTRIC', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",3295692.4 INR,16-11-2021,AMC for Electrical works at EIL Gokuldham Vashi and Belapur,13-10-2021,LT/8590-000-EK-T-1230/155,21-APR-2022
Prime Projects,"[{'S.no': '1', 'Vendor_code': '57509', 'Vendor_name': 'Prime Projects', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '57510', 'Vendor_name': 'Kumawat Infrastructure', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '3', 'Vendor_code': '57511', 'Vendor_name': 'Mistry Mohd Hussain and Sons', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '4', 'Vendor_code': '~10s', 'Vendor_name': 'M/s Swanip Infracon Private Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '5', 'Vendor_code': '~8M9', 'Vendor_name': 'Mahendra Realtors & Infrastructure Pvt. Ltd.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '~HI2', 'Vendor_name': 'CHAKRABOTY CONSTRUCTION COMPANY', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",8854642 INR,19-07-2021,Misc. Civil works at Mumbai,21-06-2021,LT/8589-000-SE-T-2022/28,02-DEC-2021
Prime Projects,"[{'S.no': '1', 'Vendor_code': '57509', 'Vendor_name': 'Prime Projects', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '57510', 'Vendor_name': 'Kumawat Infrastructure', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '3', 'Vendor_code': '57511', 'Vendor_name': 'Mistry Mohd Hussain and Sons', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '4', 'Vendor_code': '~10s', 'Vendor_name': 'M/s Swanip Infracon Private Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '5', 'Vendor_code': '~8M9', 'Vendor_name': 'Mahendra Realtors & Infrastructure Pvt. Ltd.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '~HI2', 'Vendor_name': 'CHAKRABOTY CONSTRUCTION COMPANY', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",11924008 INR,19-07-2021,Misc. Civil works at Mumbai,21-06-2021,LT/8589-000-SE-T-2022/28,02-DEC-2021
KPMG,"[{'S.no': '1', 'Vendor_code': '~C65', 'Vendor_name': 'DELOITTE TOUCHE TOHMATSU INDIA PVT LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '~PX4', 'Vendor_name': 'ERNST & YOUNG LLP', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '~Q01', 'Vendor_name': 'KPMG', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '~YA9', 'Vendor_name': 'SBI Capital Markets Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",1075000 INR,12-04-2022,Appointment of Consultant for fair value equity Investment,30-03-2022,LT/8533-000-SE-T-9500/25,28-APR-2022
SIDHARTH & GAUTAM ENGINEERS,"[{'S.no': '1', 'Vendor_code': '3637', 'Vendor_name': 'FITTECH INDUSTRIES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3719', 'Vendor_name': 'VAIBHAV FITTING INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3949', 'Vendor_name': 'DEE DEVELOPMENT ENGINEERS LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3970', 'Vendor_name': 'SKY FORGE PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '5', 'Vendor_code': 'C209', 'Vendor_name': 'CSA FITTINGS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'E060', 'Vendor_name': 'EBY FASTENERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '7', 'Vendor_code': 'G125', 'Vendor_name': 'GUJARAT INFRAPIPES PVT. LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': 'K218', 'Vendor_name': 'K.S.PIPE FITTINGS (P) LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'M057', 'Vendor_name': 'M.S. FITTINGS MFG. CO PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'P315', 'Vendor_name': 'P.K.TUBES & FITTINGS PVT.LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'S102', 'Vendor_name': 'SAWAN ENGINEERS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'S265', 'Vendor_name': 'SIDHARTH & GAUTAM ENGINEERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'T221', 'Vendor_name': 'TOPAZ PIPING INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",6224190 INR,29-03-2022,FITTINGS,07-03-2022,B015-000-WD-MR-3502/136,27-APR-2022
GUJARAT INFRAPIPES PVT. LIMITED,"[{'S.no': '1', 'Vendor_code': '3637', 'Vendor_name': 'FITTECH INDUSTRIES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3719', 'Vendor_name': 'VAIBHAV FITTING INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3949', 'Vendor_name': 'DEE DEVELOPMENT ENGINEERS LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3970', 'Vendor_name': 'SKY FORGE PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '5', 'Vendor_code': 'C209', 'Vendor_name': 'CSA FITTINGS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'E060', 'Vendor_name': 'EBY FASTENERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '7', 'Vendor_code': 'G125', 'Vendor_name': 'GUJARAT INFRAPIPES PVT. LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': 'K218', 'Vendor_name': 'K.S.PIPE FITTINGS (P) LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'M057', 'Vendor_name': 'M.S. FITTINGS MFG. CO PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'P315', 'Vendor_name': 'P.K.TUBES & FITTINGS PVT.LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'S102', 'Vendor_name': 'SAWAN ENGINEERS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'S265', 'Vendor_name': 'SIDHARTH & GAUTAM ENGINEERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'T221', 'Vendor_name': 'TOPAZ PIPING INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",2504252 INR,29-03-2022,FITTINGS,07-03-2022,B015-000-WD-MR-3502/136,27-APR-2022
Swayin Engineering Associates Pvt. Ltd,"[{'S.no': '1', 'Vendor_code': '57791', 'Vendor_name': 'Sheltera Consultants Pvt Ltd', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '2', 'Vendor_code': '57792', 'Vendor_name': 'Geosystems Research & Consultants (I) Pvt Ltd', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '3', 'Vendor_code': '57793', 'Vendor_name': 'DBM Projects Pvt Ltd', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '4', 'Vendor_code': 'B054', 'Vendor_name': 'BHASKRAM JYOTISH ANUSANDHAN KENDRA', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '5', 'Vendor_code': 'C058', 'Vendor_name': 'CONSTELL CONSULTANTS PVT. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '6', 'Vendor_code': 'G051', 'Vendor_name': 'GAVESHANA GEOSCIENCES (P) LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'X003', 'Vendor_name': 'XPLORER CONSULTANCY SERVICES PVT. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '8', 'Vendor_code': '~7A5', 'Vendor_name': 'Meenakshi Geotech', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '9', 'Vendor_code': '~9ND', 'Vendor_name': 'Swayin Engineering Associates Pvt. Ltd', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",659671.6 INR,10-03-2022,SOIL INVESTIGATION WORKS FORCOAL TO AN PROJECT,02-03-2022,RC/B503-000-CB-T-8101/1001,11-APR-2022
KARTIKAY ENTERPRISES,"[{'S.no': '1', 'Vendor_code': '57666', 'Vendor_name': 'IMPRESSIONS SERVICES PVT LTD. Gurugram', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '2', 'Vendor_code': '57667', 'Vendor_name': 'EMBASSY SERVICES PVT LTD., Banglore', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '57668', 'Vendor_name': 'Vansh Enterprises, New Delhi', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '4', 'Vendor_code': 'K506', 'Vendor_name': 'KARTIKAY ENTERPRISES', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '~01X', 'Vendor_name': 'SARVATRA INTEGRATED MANAGEMENT SERVICES PVT. LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '~1M1', 'Vendor_name': 'ALL SERVICES GLOBAL PVT. LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '~8DK', 'Vendor_name': 'CIS Global Infratech Pvt. Ltd', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '~CI2', 'Vendor_name': 'Utkarsh Utilities', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",56089876.4 INR,15-11-2021,Facility Management Contract (FMC-1) for EIL Gurugram,21-10-2021,LT/8590-000-SE-T-0680/163,18-APR-2022
SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED,"[{'S.no': '1', 'Vendor_code': 'L063', 'Vendor_name': 'SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",412084649.82 INR,30-09-2021,SWITCHBOARDS-MV-MCC/PCC/PMCC-DRAWOUT,25-06-2021,B229-000-XC-MR-0040/86,17-MAR-2022
