bid_winner,bidders,order_value,tendor_bid_close_date,tendor_discription,tendor_issue_date,tendor_no,tendor_submission_date
DIVINE TUBES PVT LTD,"[{'S.no': '1', 'Vendor_code': '3609', 'Vendor_name': 'SHIB DASS AND SONS PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3649', 'Vendor_name': 'DIVINE TUBES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3685', 'Vendor_name': 'HEAVY METAL & TUBES (INDIA) PRIVATE LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': '3720', 'Vendor_name': 'KWALITY TUBES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '3743', 'Vendor_name': 'VINAYAK PIPES AND TUBES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '3811', 'Vendor_name': 'BHARAT ENTERPRISES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '3878', 'Vendor_name': 'SUPERIOR STEEL INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '3980', 'Vendor_name': 'GLOBAL SEAMLESS TUBES AND PIPES PRIVATE', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'E214', 'Vendor_name': 'EVERGREEN SEAMLESS PIPES & TUBES PVT. LT', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'J110B', 'Vendor_name': 'JINDAL SAW LTD (NASHIK WORKS)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'J152', 'Vendor_name': 'JR SEAMLESS PVT.LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'K186', 'Vendor_name': 'KRYSTAL GLOBAL ENGINEERING LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'M187', 'Vendor_name': 'MAHARASHTRA SEAMLESS LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'S202', 'Vendor_name': 'SHUBHLAXMI METALS AND TUBES PVT. LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",18828 INR,25-03-2022,PIPES (SEAMLESS),05-03-2022,B440-003-WA-MR-3010/5,24-MAY-2022
BHARAT ENTERPRISES,"[{'S.no': '1', 'Vendor_code': '3609', 'Vendor_name': 'SHIB DASS AND SONS PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3649', 'Vendor_name': 'DIVINE TUBES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3685', 'Vendor_name': 'HEAVY METAL & TUBES (INDIA) PRIVATE LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': '3720', 'Vendor_name': 'KWALITY TUBES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '3743', 'Vendor_name': 'VINAYAK PIPES AND TUBES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '3811', 'Vendor_name': 'BHARAT ENTERPRISES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '3878', 'Vendor_name': 'SUPERIOR STEEL INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '3980', 'Vendor_name': 'GLOBAL SEAMLESS TUBES AND PIPES PRIVATE', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'E214', 'Vendor_name': 'EVERGREEN SEAMLESS PIPES & TUBES PVT. LT', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'J110B', 'Vendor_name': 'JINDAL SAW LTD (NASHIK WORKS)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'J152', 'Vendor_name': 'JR SEAMLESS PVT.LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'K186', 'Vendor_name': 'KRYSTAL GLOBAL ENGINEERING LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'M187', 'Vendor_name': 'MAHARASHTRA SEAMLESS LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'S202', 'Vendor_name': 'SHUBHLAXMI METALS AND TUBES PVT. LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",1695138 INR,25-03-2022,PIPES (SEAMLESS),05-03-2022,B440-003-WA-MR-3010/5,24-MAY-2022
M.S. FITTINGS MFG. CO PVT LTD,"[{'S.no': '1', 'Vendor_code': '3617', 'Vendor_name': 'BRITEX ENGINEERING WORKS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '2', 'Vendor_code': '3628', 'Vendor_name': 'JAI AUTO PVT LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'C044', 'Vendor_name': 'CHW FORGE PVT  LTD (FR. CHAUDHRY HAMMER)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': 'G182', 'Vendor_name': 'GOODLUCK INDIA LIMITED (UNIT: GOODLUCK E', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'H172', 'Vendor_name': 'HILTON METAL FORGING LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'M057', 'Vendor_name': 'M.S. FITTINGS MFG. CO PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'U116', 'Vendor_name': 'UTSAH ENGINEERING PVT LTD(A CD ENGG COMP', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",36817.59 INR,28-03-2022,FLANGES,05-03-2022,B440-003-WC-MR-3013/7,27-MAY-2022
JAI AUTO PVT LTD.,"[{'S.no': '1', 'Vendor_code': '3617', 'Vendor_name': 'BRITEX ENGINEERING WORKS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '2', 'Vendor_code': '3628', 'Vendor_name': 'JAI AUTO PVT LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'C044', 'Vendor_name': 'CHW FORGE PVT  LTD (FR. CHAUDHRY HAMMER)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': 'G182', 'Vendor_name': 'GOODLUCK INDIA LIMITED (UNIT: GOODLUCK E', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'H172', 'Vendor_name': 'HILTON METAL FORGING LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'M057', 'Vendor_name': 'M.S. FITTINGS MFG. CO PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'U116', 'Vendor_name': 'UTSAH ENGINEERING PVT LTD(A CD ENGG COMP', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",955405 INR,28-03-2022,FLANGES,05-03-2022,B440-003-WC-MR-3013/7,27-MAY-2022
UDEHRA FASTNERS LTD,"[{'S.no': '1', 'Vendor_code': '3592', 'Vendor_name': 'PROCYON TECHNOLOGY', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3653', 'Vendor_name': 'SAVETA ENGINEERING CO. PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3676', 'Vendor_name': 'HEM INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3971', 'Vendor_name': 'FOREX FASTNERS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'A058', 'Vendor_name': 'AEPCOM FASTENERS PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'D125A', 'Vendor_name': 'DEEPAK FASTENERS LIMITED(DORAHA UNIT)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '7', 'Vendor_code': 'H042', 'Vendor_name': 'HARDWIN FASTENERS PVT LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': 'I139', 'Vendor_name': 'INDUSTRIAL ENGINEERING CORP.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'M105', 'Vendor_name': 'MULTI FASTENERS PVT  LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '10', 'Vendor_code': 'M273', 'Vendor_name': 'MEGA ENGINEERING PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'P258', 'Vendor_name': 'PRESIDENT ENGINEERING WORKS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'P282', 'Vendor_name': 'PIONEER NUTS & BOLTS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'P326', 'Vendor_name': 'PANKAJ INTERNATIONAL', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'S137', 'Vendor_name': 'SOUVENIR INTERNATIONAL', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '15', 'Vendor_code': 'S336', 'Vendor_name': 'SYNDICATE ENGINEERING INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '16', 'Vendor_code': 'U109', 'Vendor_name': 'UDEHRA FASTNERS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",293101 INR,23-03-2022,FASTNERS,03-03-2022,B440-003-WE-MR-3015/6,22-MAY-2022
Winmet Technologies Private Limited,"[{'S.no': '1', 'Vendor_code': '57920', 'Vendor_name': 'NEWCON CONSULTANTS & LABORATORIES', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'E053', 'Vendor_name': 'EKO PRO ENGINEERS PVT LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'I025', 'Vendor_name': 'Idma Laboratories Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'V034', 'Vendor_name': 'VARDAN ENVIROLAB', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'W001', 'Vendor_name': 'Winmet Technologies Private Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",159450 INR,30-06-2022,Indoor air quality monitoring at EIL Delhi and Gurgaon,16-06-2022,LT/8590-000-SE-T-0215/179,07-SEP-2022
GAYTRI INDUSTRIAL CORPORATION PRIVATE LI,"[{'S.no': '1', 'Vendor_code': '3981', 'Vendor_name': 'AEROFLEX INDUSTRIES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '2', 'Vendor_code': '3999', 'Vendor_name': 'HELIFLEX ENGINEERING AND SERVICES PRIVAT', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'G052', 'Vendor_name': 'GAYTRI INDUSTRIAL CORPORATION PRIVATE LI', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'R204', 'Vendor_name': 'RM APPLIED ENGINEERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",412020 INR,29-04-2022,HOSE PIPES & COUPLINGS,23-03-2022,B229-000-WK-MR-3380/106,10-JUN-2022
HELIFLEX ENGINEERING AND SERVICES PRIVAT,"[{'S.no': '1', 'Vendor_code': '3981', 'Vendor_name': 'AEROFLEX INDUSTRIES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '2', 'Vendor_code': '3999', 'Vendor_name': 'HELIFLEX ENGINEERING AND SERVICES PRIVAT', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'G052', 'Vendor_name': 'GAYTRI INDUSTRIAL CORPORATION PRIVATE LI', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'R204', 'Vendor_name': 'RM APPLIED ENGINEERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",338875 INR,29-04-2022,HOSE PIPES & COUPLINGS,23-03-2022,B229-000-WK-MR-3380/106,10-JUN-2022
RM APPLIED ENGINEERS,"[{'S.no': '1', 'Vendor_code': '3981', 'Vendor_name': 'AEROFLEX INDUSTRIES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '2', 'Vendor_code': '3999', 'Vendor_name': 'HELIFLEX ENGINEERING AND SERVICES PRIVAT', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'G052', 'Vendor_name': 'GAYTRI INDUSTRIAL CORPORATION PRIVATE LI', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'R204', 'Vendor_name': 'RM APPLIED ENGINEERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",307465 INR,29-04-2022,HOSE PIPES & COUPLINGS,23-03-2022,B229-000-WK-MR-3380/106,10-JUN-2022
SAWAN ENGINEERS PVT LTD,"[{'S.no': '1', 'Vendor_code': '3637', 'Vendor_name': 'FITTECH INDUSTRIES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3996', 'Vendor_name': 'KISAAN TECHNO FORGE PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'E060', 'Vendor_name': 'EBY FASTENERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'G125', 'Vendor_name': 'GUJARAT INFRAPIPES PVT. LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'L004', 'Vendor_name': 'LEADER VALVES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'M057', 'Vendor_name': 'M.S. FITTINGS MFG. CO PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'P315', 'Vendor_name': 'P.K.TUBES & FITTINGS PVT.LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': 'S102', 'Vendor_name': 'SAWAN ENGINEERS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",1208279 INR,22-06-2022,FITTINGS: SS & AS,25-05-2022,B229-000-WD-MR-3327/127,05-SEP-2022
P.K.TUBES & FITTINGS PVT.LTD.,"[{'S.no': '1', 'Vendor_code': '3637', 'Vendor_name': 'FITTECH INDUSTRIES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3996', 'Vendor_name': 'KISAAN TECHNO FORGE PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'E060', 'Vendor_name': 'EBY FASTENERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'G125', 'Vendor_name': 'GUJARAT INFRAPIPES PVT. LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'L004', 'Vendor_name': 'LEADER VALVES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'M057', 'Vendor_name': 'M.S. FITTINGS MFG. CO PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'P315', 'Vendor_name': 'P.K.TUBES & FITTINGS PVT.LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': 'S102', 'Vendor_name': 'SAWAN ENGINEERS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",224949 INR,22-06-2022,FITTINGS: SS & AS,25-05-2022,B229-000-WD-MR-3327/127,05-SEP-2022
M.S. FITTINGS MFG. CO PVT LTD,"[{'S.no': '1', 'Vendor_code': '3637', 'Vendor_name': 'FITTECH INDUSTRIES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3996', 'Vendor_name': 'KISAAN TECHNO FORGE PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'E060', 'Vendor_name': 'EBY FASTENERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'G125', 'Vendor_name': 'GUJARAT INFRAPIPES PVT. LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'L004', 'Vendor_name': 'LEADER VALVES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'M057', 'Vendor_name': 'M.S. FITTINGS MFG. CO PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'P315', 'Vendor_name': 'P.K.TUBES & FITTINGS PVT.LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': 'S102', 'Vendor_name': 'SAWAN ENGINEERS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",141983 INR,22-06-2022,FITTINGS: SS & AS,25-05-2022,B229-000-WD-MR-3327/127,05-SEP-2022
EBY FASTENERS,"[{'S.no': '1', 'Vendor_code': '3637', 'Vendor_name': 'FITTECH INDUSTRIES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3996', 'Vendor_name': 'KISAAN TECHNO FORGE PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'E060', 'Vendor_name': 'EBY FASTENERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'G125', 'Vendor_name': 'GUJARAT INFRAPIPES PVT. LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'L004', 'Vendor_name': 'LEADER VALVES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'M057', 'Vendor_name': 'M.S. FITTINGS MFG. CO PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'P315', 'Vendor_name': 'P.K.TUBES & FITTINGS PVT.LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': 'S102', 'Vendor_name': 'SAWAN ENGINEERS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",418688 INR,22-06-2022,FITTINGS: SS & AS,25-05-2022,B229-000-WD-MR-3327/127,05-SEP-2022
KISAAN TECHNO FORGE PRIVATE LIMITED,"[{'S.no': '1', 'Vendor_code': '3637', 'Vendor_name': 'FITTECH INDUSTRIES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3996', 'Vendor_name': 'KISAAN TECHNO FORGE PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'E060', 'Vendor_name': 'EBY FASTENERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'G125', 'Vendor_name': 'GUJARAT INFRAPIPES PVT. LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'L004', 'Vendor_name': 'LEADER VALVES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'M057', 'Vendor_name': 'M.S. FITTINGS MFG. CO PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'P315', 'Vendor_name': 'P.K.TUBES & FITTINGS PVT.LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': 'S102', 'Vendor_name': 'SAWAN ENGINEERS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",22950 INR,22-06-2022,FITTINGS: SS & AS,25-05-2022,B229-000-WD-MR-3327/127,05-SEP-2022
EVERGREEN TECHNOLOGIES PVT.LTD.,"[{'S.no': '1', 'Vendor_code': 'E020', 'Vendor_name': 'EVERGREEN TECHNOLOGIES PVT.LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",7566000 INR,18-07-2022,SUPPLY OF PROPRIETARY CONTACTOR AT MRPL,13-07-2022,8603-000-LZ-MR-6833/28,27-SEP-2022
Sopan O and M Co. Pvt. Ltd,"[{'S.no': '1', 'Vendor_code': '57882', 'Vendor_name': 'ADARSH NOBLE CORPORATION LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'B017', 'Vendor_name': 'BRIDGE AND ROOF COMPANY (INDIA) LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'S075', 'Vendor_name': 'Sopan O and M Co. Pvt. Ltd', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'S099', 'Vendor_name': 'SHARP TANKS AND STRUCTURALS PVT LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}]",459964966 INR,27-05-2022,Tankages Work,05-04-2022,AS/B229-000-MA-T-6014/1020,05-SEP-2022
MICROFINISH VALVES PVT LIMITED,"[{'S.no': '1', 'Vendor_code': 'A315', 'Vendor_name': 'ADVANCE VALVES PVT LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'M094', 'Vendor_name': 'MICROFINISH VALVES PVT LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",7785636 INR,16-06-2022,On-Off Valves,19-04-2022,B229-000-YC-MR-2450/96,16-SEP-2022
ADVANCE VALVES PVT LTD.,"[{'S.no': '1', 'Vendor_code': 'A315', 'Vendor_name': 'ADVANCE VALVES PVT LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'M094', 'Vendor_name': 'MICROFINISH VALVES PVT LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",47411512 INR,16-06-2022,On-Off Valves,19-04-2022,B229-000-YC-MR-2450/96,16-SEP-2022
PATELS AIRTEMP (INDIA) LTD,"[{'S.no': '1', 'Vendor_code': 'A311', 'Vendor_name': 'AKSHAR PRECISION TUBES PVT LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'B005', 'Vendor_name': 'BHARAT HEAVY ELECTRICALS LIMITED-HYDERAB', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '3', 'Vendor_code': 'B201', 'Vendor_name': 'BGR ENERGY SYSTEMS LIMITED(FORMRLY G120)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': 'E221', 'Vendor_name': 'ENGINEMATES HEAT TRANSFER PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '5', 'Vendor_code': 'P086', 'Vendor_name': 'PATELS AIRTEMP (INDIA) LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",8129300 INR,04-07-2022,AIR FIN COOLER (CS),26-05-2022,B229-000-EA-MR-6035/121,23-SEP-2022
RATNAMANI METALS AND TUBES LTD,"[{'S.no': '1', 'Vendor_code': '82292', 'Vendor_name': 'Eckhardt Steel & Alloys', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '2', 'Vendor_code': '82310', 'Vendor_name': 'MAHALAXMI INTERNATIONAL', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '3', 'Vendor_code': 'M188', 'Vendor_name': 'MUKAT TANKS & VESSELS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'R066', 'Vendor_name': 'RATNAMANI METALS AND TUBES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",41661888 INR,25-07-2022,PIPE: 3L PE COATED,18-06-2022,B229-000-WA-MR-3305/128,07-SEP-2022
